name,interface_number,shift_number,swap_number,material_lower,material_lower_primitive_cell,material_lower_percent,material_lower_bulk_n,material_lower_bulk_E_dft,material_lower_bulk_E_mlp,material_lower_termination_min_layer_loc,material_lower_termination_max_layer_loc,material_lower_termination_n_atoms,material_lower_miller_hkl,material_lower_miller_h,material_lower_miller_k,material_lower_miller_l,material_upper,material_upper_primitive_cell,material_upper_bulk_n,material_upper_bulk_E_dft,material_upper_bulk_E_mlp,material_upper_termination_min_layer_loc,material_upper_termination_max_layer_loc,material_upper_termination_n_atoms,material_upper_miller_hkl,material_upper_miller_h,material_upper_miller_k,material_upper_miller_l,material_shift_a,material_shift_b,material_shift_c,material_vector_mismatch_%,material_angle_mismatch_°,material_area_mismatch_%,interface_atoms_n,interface_electron_n,interface_E_dft@dft,interface_E_dft@mlp,interface_E_bulk_form_dft,interface_E_form_delta_dft@dft,interface_E_form_delta_dft@mlp,interface_compute_nodes_dft,interface_compute_time_seconds,interface_compute_time_per_electron_dft,interface_E_mlp@mlp,interface_E_mlp@dft,interface_E_bulk_form_mlp,interface_E_form_delta_mlp@mlp,interface_E_form_delta_mlp@dft,interface_compute_nodes_mlp,interface_compute_time_seconds_mlp,interface_compute_time_per_electron_mlp,mlp_n_times_faster,dft_mlp_rank_distance,fill_colour,is_shift,is_swap,is_valid,is_comparable_dft@dft_mlp@mlp,dft@dft_vs_mlp@mlp_rank_dft,dft@dft_vs_mlp@mlp_rank_mlp,dft@dft_vs_mlp@mlp_rank_distance,dft@dft_vs_mlp@mlp_line_colour,is_comparable_dft@dft_dft@mlp,dft@dft_vs_dft@mlp_rank_dft,dft@dft_vs_dft@mlp_rank_mlp,dft@dft_vs_dft@mlp_rank_distance,dft@dft_vs_dft@mlp_line_colour,is_comparable_mlp@dft_mlp@mlp,mlp@dft_vs_mlp@mlp_rank_dft,mlp@dft_vs_mlp@mlp_rank_mlp,mlp@dft_vs_mlp@mlp_rank_distance,mlp@dft_vs_mlp@mlp_line_colour,is_broken
120_Si36C84_012_012_a0.12963_b0.617284_c1.482413_interface1shift1,1,1,1,Si,False,6.666666666666667,8,-42.60220066,-45.400925,-0.04167,0.04167,6,012,0,1,2,C,False,8,-69.80589084,-74.136955,0.29167,0.375,14,012,0,1,2,0.12963,0.617284,1.482413,0.319951773,0.0,0.640940666,120,480,-792.28481032,-841.063149,-7.025505718750001,-5.665639323500001,-6.012710575,4,,12.05,-920.942715,,-7.4711175,-6.678373625000001,,1,,11.385416666666666,1.0583714547118026,,"(0.43137254901960786, 0.13333333333333333, 0.8666666666666667)",True,False,True,True,54,50,4,"(0.07058823529411765, 0.9254901960784314, 0.0)",True,54,63,9,"(0.1411764705882353, 0.8549019607843137, 0.0)",False,,,,,False
380_Si72C308_111_111_a0.045455_b0.007576_c2.163935_interface6shift5,6,5,5,Si,False,2.1052631578947367,8,-42.60220066,-45.400925,-0.03508,0.03508,12,111,1,1,1,C,False,8,-69.80589084,-74.136955,0.19792,0.21875,28,111,1,1,1,0.045455,0.007576,2.163935,0.319956511,0.0,0.640952587,380,1520,,,,,,4,,,,,,,,1,,,,,,True,False,False,False,,,,,False,,,,,False,,,,,
120_Si36C84_012_012_a0.314815_b0.067901_c1.482413_interface10shift5,10,5,5,Si,False,6.666666666666667,8,-42.60220066,-45.400925,-0.04167,0.04167,6,012,0,1,2,C,False,8,-69.80589084,-74.136955,-0.04167,0.04167,14,012,0,1,2,0.314815,0.067901,1.482413,0.319951773,6.83e-06,0.640940666,120,480,-796.05717319,-846.531729,-7.025505718750001,-5.69707568075,-6.058282074999999,4,,11.975,-928.13634,,-7.4711175,-6.7383204999999995,,1,,6.16875,1.9412360688956432,,"(0.43137254901960786, 0.13333333333333333, 0.8666666666666667)",True,False,True,True,18,21,3,"(0.1411764705882353, 0.8549019607843137, 0.0)",True,18,14,4,"(0.2196078431372549, 0.7764705882352941, 0.0)",False,,,,,False
120_Si72Ge48_013_114_a0.308642_b0.076023_c1.486532_interface2shift3,2,3,3,Si,False,6.666666666666667,8,-42.60220066,-45.400925,0.125,0.20833,12,013,0,1,3,Ge,False,8,-35.08485951,-38.831661,-0.04167,0.04167,8,114,1,1,4,0.308642,0.076023,1.486532,1.781901121,0.0,2.930992842,120,480,-519.82901922,-578.613518,-4.855441260625,-3.6845163254166664,-4.1198410999999995,4,,7.525,-617.058968,,-5.264536625,-4.44021985,,1,,4.610416666666667,1.6321735201084502,,"(0.43137254901960786, 0.13333333333333333, 0.8666666666666667)",True,False,True,True,282,277,5,"(0.01568627450980392, 0.9803921568627451, 0.0)",True,282,282,0,"(0.0, 1.0, 0.0)",False,,,,,False
264_Si156Sn108_001_001_a0.276923_b0.041026_c2.1_interface1shift4swap8,1,4,4,Si,False,3.0303030303030303,8,-42.60220066,-45.400925,-0.04051,0.04051,26,001,0,0,1,Sn,False,8,-29.90800429,-34.349418,-0.0339,0.0339,18,001,0,0,1,0.276923,0.041026,2.1,0.582945824,0.0,1.162487268,264,1056,-1096.23261932,-1212.705901,-4.531887809375,-3.877736418068181,,4,,27.522727272727273,,,,,,1,,,,,,True,True,False,False,,,,,False,,,,,False,,,,,
24_Si24_001_001_a0.0_b0.0_c0.0_interface7shift1,7,1,1,Si,False,33.33333333333333,8,-42.60220066,-45.400925,-0.04051,0.04051,2,001,0,0,1,Si,False,8,-42.60220066,-45.400925,-0.04051,0.04051,2,001,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,24,96,39.20221918,15.425487,-5.3252750825,5.1836091875,4.426139041666667,4,,2.875,-124.197694,,-5.675115625,-1.3914935,,1,,0.8958333333333334,3.2093023255813953,,"(0.16470588235294117, 0.6627450980392157, 0.3333333333333333)",False,False,False,True,322,349,27,"(0.07450980392156863, 0.9215686274509803, 0.0)",True,322,321,1,"(0.0, 0.996078431372549, 0.0)",False,,,,,False
156_Si72Ge84_112_001_a0.0_b0.0_c0.0_interface16shift1,16,1,1,Si,False,5.128205128205128,8,-42.60220066,-45.400925,-0.04167,0.04167,12,112,1,1,2,Ge,False,8,-35.08485951,-38.831661,-0.03888,0.03888,14,001,0,0,1,0.0,0.0,0.0,4.176025867,0.380735219,3.380048275,156,624,257.43281699,-26.468339,-4.855441260625,2.148204340769231,,4,,10.26923076923077,,,,,,1,,,,,,False,False,False,False,,,,,False,,,,,False,,,,,
120_Si36C84_012_012_a0.863636_b0.117284_c1.680068_interface9shift3,9,3,3,Si,False,6.666666666666667,8,-42.60220066,-45.400925,-0.04167,0.04167,6,012,0,1,2,C,False,8,-69.80589084,-74.136955,-0.04167,0.04167,14,012,0,1,2,0.863636,0.117284,1.680068,0.319951773,6.83e-06,0.640940666,120,480,-790.55820016,-841.429598,-7.025505718750001,-5.6512509055,-6.015764316666667,4,,8.675,-921.053528,,-7.4711175,-6.679297066666667,,1,,6.004166666666666,1.4448299791811243,,"(0.43137254901960786, 0.13333333333333333, 0.8666666666666667)",True,False,True,True,58,49,9,"(0.15294117647058825, 0.8431372549019608, 0.0)",True,58,56,2,"(0.03137254901960784, 0.9647058823529412, 0.0)",False,,,,,False
380_Si72C308_111_111_a0.045455_b0.068182_c2.163935_interface4shift3,4,3,3,Si,False,2.1052631578947367,8,-42.60220066,-45.400925,0.29825,0.36841,12,111,1,1,1,C,False,8,-69.80589084,-74.136955,0.19792,0.21875,28,111,1,1,1,0.045455,0.068182,2.163935,0.319956511,0.0,0.640952587,380,1520,,,,,,4,,,,,,,,1,,,,,,True,False,False,False,,,,,False,,,,,False,,,,,
96_Si48Sn48_112_111_a0.860215_b0.150327_c1.480958_interface2shift4,2,4,4,Si,False,8.333333333333332,8,-42.60220066,-45.400925,-0.04167,0.04167,8,112,1,1,2,Sn,False,8,-29.90800429,-34.349418,-0.02936,0.02936,8,111,1,1,1,0.860215,0.150327,1.480958,3.476550341,0.0,0.950312614,96,384,,,,,,4,,,-474.500942,,-4.9843964375,-4.11198540625,,1,,9.143229166666666,,,,True,False,False,False,,,,,False,,,,,False,,,,,False
120_Si72Ge48_011_001_a0.368421_b0.222222_c2.163935_interface6shift4swap4,6,4,4,Si,False,6.666666666666667,8,-42.60220066,-45.400925,-0.02864,0.02864,12,011,0,1,1,Ge,False,8,-35.08485951,-38.831661,-0.03888,0.03888,8,001,0,0,1,0.368421,0.222222,2.163935,4.176024914,0.0,2.319717407,120,480,-575.08440535,-622.892851,-4.855441260625,-4.1449778765,-4.488835541666666,4,,5.525,-631.759595,,-5.264536625,-4.5627250749999995,,1,,1.4666666666666666,3.767045454545455,,"(0.43137254901960786, 0.13333333333333333, 0.8666666666666667)",True,True,True,True,149,257,108,"(0.4196078431372549, 0.5764705882352941, 0.0)",True,149,150,1,"(0.00392156862745098, 0.9921568627450981, 0.0)",False,,,,,False
60_Si36Sn24_012_012_a0.0_b0.0_c0.0_interface15shift1,15,1,1,Si,False,13.333333333333334,8,-42.60220066,-45.400925,-0.04167,0.04167,6,012,0,1,2,Sn,False,8,-29.90800429,-34.349418,-0.04167,0.04167,4,012,0,1,2,0.0,0.0,0.0,2.441372156,0.0,4.823124409,60,240,306.28930932,566.15866,-4.531887809375,6.313325237833333,10.76515005,4,,9.6,-299.510759,,-4.9843964375,-3.6626736,,1,,3.1708333333333334,3.0275952693823913,,"(0.36470588235294116, 0.26666666666666666, 0.7333333333333333)",False,False,False,True,330,332,2,"(0.00392156862745098, 0.9921568627450981, 0.0)",True,330,327,3,"(0.00784313725490196, 0.9882352941176471, 0.0)",False,,,,,False
380_Si72C308_111_111_a0.0_b0.0_c0.0_interface18shift1,18,1,1,Si,False,2.1052631578947367,8,-42.60220066,-45.400925,-0.03508,0.03508,12,111,1,1,1,C,False,8,-69.80589084,-74.136955,0.19792,0.21875,28,111,1,1,1,0.0,0.0,0.0,0.319956511,6.83e-06,0.640952587,380,1520,,,,,,4,,,,,,,,1,,,,,,False,False,False,False,,,,,False,,,,,False,,,,,
