name,interface_number,shift_number,swap_number,material_lower,material_lower_primitive_cell,material_lower_percent,material_lower_bulk_n,material_lower_bulk_E_dft,material_lower_bulk_E_mlp,material_lower_termination_min_layer_loc,material_lower_termination_max_layer_loc,material_lower_termination_n_atoms,material_lower_miller_hkl,material_lower_miller_h,material_lower_miller_k,material_lower_miller_l,material_upper,material_upper_primitive_cell,material_upper_bulk_n,material_upper_bulk_E_dft,material_upper_bulk_E_mlp,material_upper_termination_min_layer_loc,material_upper_termination_max_layer_loc,material_upper_termination_n_atoms,material_upper_miller_hkl,material_upper_miller_h,material_upper_miller_k,material_upper_miller_l,material_shift_a,material_shift_b,material_shift_c,material_vector_mismatch_%,material_angle_mismatch_°,material_area_mismatch_%,interface_atoms_n,interface_electron_n,interface_E_dft@dft,interface_E_dft@mlp,interface_E_bulk_form_dft,interface_E_form_delta_dft@dft,interface_E_form_delta_dft@mlp,interface_compute_nodes_dft,interface_compute_time_seconds,interface_compute_time_per_electron_dft,interface_E_mlp@mlp,interface_E_mlp@dft,interface_E_bulk_form_mlp,interface_E_form_delta_mlp@mlp,interface_E_form_delta_mlp@dft,interface_compute_nodes_mlp,interface_compute_time_seconds_mlp,interface_compute_time_per_electron_mlp,mlp_n_times_faster,dft_mlp_rank_distance,fill_colour,is_shift,is_swap,is_valid,is_comparable_dft@dft_mlp@mlp,dft@dft_vs_mlp@mlp_rank_dft,dft@dft_vs_mlp@mlp_rank_mlp,dft@dft_vs_mlp@mlp_rank_distance,dft@dft_vs_mlp@mlp_line_colour,is_comparable_dft@dft_dft@mlp,dft@dft_vs_dft@mlp_rank_dft,dft@dft_vs_dft@mlp_rank_mlp,dft@dft_vs_dft@mlp_rank_distance,dft@dft_vs_dft@mlp_line_colour,is_comparable_mlp@dft_mlp@mlp,mlp@dft_vs_mlp@mlp_rank_dft,mlp@dft_vs_mlp@mlp_rank_mlp,mlp@dft_vs_mlp@mlp_rank_distance,mlp@dft_vs_mlp@mlp_line_colour,is_broken
264_Sn108Si156_001_001_a0.07732_b0.082474_c2.1_interface1shift1swap2,1,1,1,Sn,False,3.0303030303030303,8,-29.90800429,-34.349418,-0.0339,0.0339,18,001,0,0,1,Si,False,8,-42.60220066,-45.400925,-0.04051,0.04051,26,001,0,0,1,0.07732,0.082474,2.1,0.586363971,0.0,1.176154613,264,1056,-1121.52272796,-1232.882036,-4.531887809375,-3.9735322841287877,-4.367923079545455,4,,24.625,-1306.495405,,-4.9843964375,-4.646761598484848,,1,,3.247159090909091,7.583552055993001,,"(0.4666666666666667, 0.058823529411764705, 0.9372549019607843)",True,True,True,True,53,52,1,"(0.01568627450980392, 0.9803921568627451, 0.0)",True,3,3,0,"(0.0, 1.0, 0.0)",False,,,,,False
168_Sn72Ge96_011_011_a0.126126_b0.537975_c2.163935_interface4shift8,4,8,8,Sn,False,4.761904761904762,8,-29.90800429,-34.349418,-0.02397,0.02397,12,011,0,1,1,Ge,False,8,-35.08485951,-38.831661,-0.0275,0.0275,16,011,0,1,1,0.126126,0.537975,2.163935,0.675974071,0.0,1.356506348,168,672,-675.23362422,-755.095887,-4.062053987500001,-3.6323854786904763,-4.059016714285714,4,,7.845238095238095,-767.893843,,-4.5738174375,-4.135195023809523,,1,,6.168154761904762,1.2718938480096502,,"(0.4470588235294118, 0.09411764705882353, 0.9019607843137255)",True,False,True,True,113,127,14,"(0.10980392156862745, 0.8862745098039215, 0.0)",True,36,36,0,"(0.0, 1.0, 0.0)",False,,,,,False
108_Sn48Ge60_001_001_a0.930233_b0.224806_c2.2_interface10shift5,10,5,5,Sn,False,7.4074074074074066,8,-29.90800429,-34.349418,-0.0339,0.0339,8,001,0,0,1,Ge,False,8,-35.08485951,-38.831661,-0.03888,0.03888,10,001,0,0,1,0.930233,0.224806,2.2,2.520913124,0.0,4.978269577,108,432,,,,,,4,,,-488.449032,,-4.5738174375,-3.8450736388888886,,1,,,,,,True,False,False,False,,,,,False,,,,,False,,,,,False
168_Sn72Ge96_011_011_a0.126126_b0.531646_c2.163935_interface4shift1,4,1,1,Sn,False,4.761904761904762,8,-29.90800429,-34.349418,-0.02397,0.02397,12,011,0,1,1,Ge,False,8,-35.08485951,-38.831661,-0.0275,0.0275,16,011,0,1,1,0.126126,0.531646,2.163935,0.675974071,0.0,1.356506348,168,672,-674.98914004,-755.027413,-4.062053987500001,-3.6309302157142858,-4.058609130952381,4,,7.958333333333333,-767.893854,,-4.5738174375,-4.135195089285714,,1,,6.230654761904762,1.2772868402197277,,"(0.4470588235294118, 0.09411764705882353, 0.9019607843137255)",True,False,True,True,117,126,9,"(0.07058823529411765, 0.9254901960784314, 0.0)",True,40,39,1,"(0.023529411764705882, 0.9725490196078431, 0.0)",False,,,,,False
264_Sn108Si156_001_001_a0.07732_b0.082474_c2.1_interface1shift8,1,8,8,Sn,False,3.0303030303030303,8,-29.90800429,-34.349418,-0.0339,0.0339,18,001,0,0,1,Si,False,8,-42.60220066,-45.400925,-0.04051,0.04051,26,001,0,0,1,0.07732,0.082474,2.1,0.586363971,0.0,1.176154613,264,1056,-1173.58131284,,-4.531887809375,-4.170723893522727,,4,,21.992424242424242,-1321.971092,,-4.9843964375,-4.705381625,,1,,3.492424242424242,6.297180043383948,,"(0.4666666666666667, 0.058823529411764705, 0.9372549019607843)",True,False,True,True,6,6,0,"(0.0, 1.0, 0.0)",False,,,,,False,,,,,False
48_Sn48_114_114_a0.0_b0.0_c0.0_interface1shift1swap1,1,1,1,Sn,False,16.666666666666664,8,-29.90800429,-34.349418,-0.04167,0.04167,4,114,1,1,4,Sn,False,8,-29.90800429,-34.349418,-0.04167,0.04167,4,114,1,1,4,0.0,0.0,0.0,0.0,0.0,0.0,48,192,-544.16757393,,-3.73850053625,-10.090657611458333,,4,,5.854166666666667,-34.801001,,-4.29367725,0.7062048958333333,,1,,4.557291666666667,1.2845714285714285,,"(0.32941176470588235, 0.32941176470588235, 0.6666666666666666)",False,True,True,True,,,,,False,,,,,False,,,,,True
48_Sn24Ge24_012_125_a0.077519_b0.93299_c1.589553_interface13shift1,13,1,1,Sn,False,16.666666666666664,8,-29.90800429,-34.349418,-0.04167,0.04167,4,012,0,1,2,Ge,False,8,-35.08485951,-38.831661,-0.04167,0.04167,4,125,1,2,5,0.077519,0.93299,1.589553,3.610095024,0.581727207,6.898111343,48,192,-157.26312799,-186.268811,-4.062053987500001,-1.9222971706249996,-2.355994416666667,4,,5.583333333333333,-209.575432,,-4.5738174375,-2.841549020833334,,1,,3.5989583333333335,1.5513748191027494,,"(0.32941176470588235, 0.32941176470588235, 0.6666666666666666)",True,False,True,True,135,158,23,"(0.1450980392156863, 0.8509803921568627, 0.0)",True,58,61,3,"(0.047058823529411764, 0.9490196078431372, 0.0)",False,,,,,False
264_Sn108Si156_001_001_a0.07732_b0.082474_c2.1_interface2shift7swap1,2,7,7,Sn,False,3.0303030303030303,8,-29.90800429,-34.349418,-0.0339,0.0339,18,001,0,0,1,Si,False,8,-42.60220066,-45.400925,-0.04051,0.04051,26,001,0,0,1,0.07732,0.082474,2.1,0.586363971,0.0,1.176154613,264,1056,,,,,,4,,,-1305.1122,,-4.9843964375,-4.641522185606061,,1,,4.235795454545454,,,,True,True,False,False,,,,,False,,,,,False,,,,,False
264_Sn108Si156_001_001_a0.07732_b0.082474_c2.1_interface2shift5swap1,2,5,5,Sn,False,3.0303030303030303,8,-29.90800429,-34.349418,-0.0339,0.0339,18,001,0,0,1,Si,False,8,-42.60220066,-45.400925,-0.04051,0.04051,26,001,0,0,1,0.07732,0.082474,2.1,0.586363971,0.0,1.176154613,264,1056,,,,,,4,,,-1307.706024,,-4.9843964375,-4.6513472765151525,,1,,5.901515151515151,,,,True,True,False,False,,,,,False,,,,,False,,,,,False
264_Sn108Si156_001_001_a0.07732_b0.082474_c2.1_interface1shift4swap4,1,4,4,Sn,False,3.0303030303030303,8,-29.90800429,-34.349418,-0.0339,0.0339,18,001,0,0,1,Si,False,8,-42.60220066,-45.400925,-0.04051,0.04051,26,001,0,0,1,0.07732,0.082474,2.1,0.586363971,0.0,1.176154613,264,1056,-1122.28074717,,-4.531887809375,-3.9764035690151514,,4,,24.613636363636363,,,,,,1,,,,,,True,True,False,False,,,,,False,,,,,False,,,,,
